CUSTOMER,PART NAME,,,,PART NUMBER,,SPEC,T (mm),W (mm),L (mm),BQ,UNIT,STOCK,
FJP,REINF BELT ANCHOR NO.1 RH,,,,57815-BZ120,,SCGA270D,1.4,225,245,1,SHEET,0,SHEET
FJP,BRACKET FINISH PANEL,,,,55381-BZ120,,SPC270C,1.4,216,1219,12,SHEET,0,SHEET
FJP,BRACKET GLOVE COMPDOOR,,,,55598-BZ080,,SPCC,1.2,236,1219,17,SHEET,0,SHEET
MWT,BRKT-BAR P/S MTG REINF LH,,,,844C3-17000,,SPHC,2.0,50,1219,52,SHEET,0,SHEET
BLUESCOPE,BASE KL-98,,,,P11938,,ZINCALUME,-,-,-,-,COIL,0,KG
BLUESCOPE,TOWER KL-98,,,,P11938,,GALVASPAN,-,-,-,-,COIL,6672,KG
MMI,"RETAINER, SPARE WHEEL MOUNTING",,,,51988-VTO20,,SCGA270D-45,1.0,125,435,1,SHEET,-411,SHEET
MMI,"BRACKET, COWL TOP OUTER PANEL, NO.1 RH",,,,55718-VTO20/30,,SCGA270D-45,1.0,223,531,8,SHEET,0,SHEET
MMI,"FR PANEL UPR REINFORCEMENT, RH",,,,55725-VTO20,,SCGA270D-45,0.75,128,408,6,SHEET,0,SHEET
MMI,BRACKET WIPER MOUNTING NO 3 RH,,,,55795-VTO20/30,,SCGA270D-45,0.7,154,135,1,SHEET,809,SHEET
MMI,HEAD JACK BRACKET,,,,55795-VTO30,,SCGA270D-45,1.0,378,182,2,SHEET,0,SHEET
DPM,BRKT-BAR PASSENGER SIDE MTG RH/LH,,,,84468-16900/I6000,,SPHC-P,1.6,120,1219,7,SHEET,,SHEET
DPM,BRKT-BAR DRIVER SIDE MTG RH/LH,,,,84467-16900/I6000,,SPHC-P,1.6,275,1219,8,SHEET,,SHEET
DPM,"BRKT, HARNESS INST CTR LWR",,,,77169-T86A-P000-H1,,JSC270,1.2,78,1219,49,SHEET,,SHEET
DPM,"HOLDER UPR, RR STRG HANGER",,,,77171-T86A-P000-H1,,JSC270,1.2,200,1219,11,SHEET,,SHEET
DPM,"HOLDER LWR, RR STRG HANGER",,,,77172-T86A-P000-H1,,JSC270,1.6,272,1219,11,SHEET,,SHEET
DPM,BRACKET FINISH PANEL MOUNTING,,,,55381-BZ010,,SPHC-PO,2.0,86,164,-,COIL,,KG
DPM,BRACKET PATCH INSTRUMENT UPR LH,,,,55328-BZ040,,SPHC-PO,2.0,98,99,-,COIL,,KG
DPM,"BHD RH/LH, RR INNER UP",,,,64314-3K6A-K006/02-H1,,JSC270,1.0,145,200,1,SHEET,,SHEET
DPM,"BRACKET FINISH PANEL MTG, NO 2",,,,55382-BZ100,,SPC440,1.4,130,152,-,COIL,,KG
DPM,"BRACKET, SUB RELAY BOX B",,,,77168-TG4D-T001-H1,,JSH270C,3.2,120,1219,300,SHEET,,SHEET
DPM,"BRACKET, FR ANTENNA REINFORCE",,,,77169-TSA-K000-H1,,JSH270C,1.2,68,1219,37,SHEET,,SHEET
IPPI,AE96/7 BRKT FR SEAT OUT UP RH/LH,,,,57483-BZ020,,SPC440X,1.0,217,1240,8,SHEET,,EH
IPPI,"AE17/8 REINF, RR DR LOCK STRIKER RH/LH",,,,61513/4-BZ150,,SPC270CX,0.7,147,1219,9,SHEET,,SHEET
IPPI,XP-0080/1 BRACKET FR SEAT OUTSIDE UPR RH/LH,,,,57483/4-BZ050,,SPC440X,1.0,277,1219,11,SHEET,,SHEET
IPPI,XP-0084 PATCH FR FLOOR RR,,,,58169-BZ060,,SCGA270C-45,1.4,384,1219,6,SHEET,,SHEET
IPPI,XP-0039 HANGER EXHAUST PIPE NO 4 RR,,,,51996-BZ030,,SS400 DIA,-,10,1000,7,SHEET,,SHEET
IPPI,RCS-008 HANGER EXTHAUST PIPE,,,,51996-BZ010,,,,,,13,,,
IPPI,XP-0083 RTR FLR MEMBER REINFORCEMENT,,,,57491-BZ060,,SPC440X,1.6,45,610,18,SHEET,,SHEET
