Nama Part,Nama Material,Stok terkini (sheet),BQ,Qty-FP
PUNCH PLATE FOR BELT PANJANG 1494 MM,SPHC  3.2 X 99 X 1494,162,1,162
PUNCH PLATE FOR LINE 3 SIZE 124X2385,SPHC  3.2 X 124 X 2385,0,1,0
Kouita Uke,SPHC-PO  2.3 X 230 X 430,0,1,0
BRAKET HOOK,SPCC T 2.0 X 50 X 1219,42,52,2184
41100L-BRACKET,SPCC T 1.6 X 570 X 150,0,,0
41100R-BRACKET,SPCC T 1.6 X 570 X 150,0,,0
41103L-BRACKET,SPCC T 1.6 X 655 X 1219,0,,0
41103R-BRACKET,SPCC T 1.6 X 655 X 1219,0,,0
41145L-BRACKET,SPCC T.1.2 X 645 X 1219,0,,0
41145U-BRACKET,SPCC T 1.2 X 648 X 1219,0,,0
BACK PLATE ECO 1D 140L,SGCC T. 0.23 X 535 X 729.6,0,1,0
BOTTOM PLATE ECO 1D,SGCC T. 0.23 X 541 X 636.2,1000,1,1000
41150L-BRACKET,SPCC T.1.2 X 645 X 1219,0,,0
41150U-BRACKET,SPCC T 1.2 X 648 X 1219,0,,0
BACK PLATE ECO 1D 155L,SGCC T. 0.23 X 535 X 829.6,0,1,0
41160L-BRACKET,SPCC T 1.4 X 540 X 1219,0,,0
41160R-BRACKET,SPCC T 1.4 X 540 X 1219,0,,0
41164-BRACKET,SPCC T 2.0 X 780 X 1219,0,,0
BACK PLATE 1D 160 L,SGCC T. 0.23 X 555 X 881.6,0,1,0
BOTTOM PLATE 1D,SGCC T. 0.23 X 561 X 666.2,0,1,0
BACK PLATE 1D 170 L,SGCC T. 0.23 X 555 X 951.6,0,1,0
BACK PLATE ECO 1D 165 L,SGCC T. 0.23 X 535 X 909.6,0,1,0
BACK PLATE ECO 1D 175 L,SGCC T. 0.23 X 535 X 967.6,0,1,0
42067-BRACKET,SPCC T 1.4 X 585 X 1219,0,,0
BACK PLATE 2D 180 L,SGCC T. 0.23 X 555 X 1193.6,0,1,0
BOTTOM PLATE 2D,SGCC T. 0.23 X 561 X 706.2,0,1,0
BOTTOM PLATE 2D V2,SGCC T. 0.23 X 560.7 X 656.2,0,1,0
BACK PLATE 2D 230 L,SGCC T. 0.23 X 555 X 1431.6,0,1,0
BACK PLATE SC 175L,SGCC T. 0.23 X 555 X 1049.4,500,1,500
BACK PLATE SC 210L,SGCC T. 0.23 X 555 X 1229.4,500,1,500
BOTTOM PLATE SAS SC,SGCC T. 0.23 X 500 X 522.1,0,1,0
BOTTOM PLATE L SC,SGCC T. 0.23 X 278 X 536.8,0,1,0
BOTTOM PLATE R SC,SGCC T. 0.23 X 278 X 536.8,0,1,0
BACK PLATE SC 260 L,SGCC T. 0.23 X 555 X 1479.4,4000,1,4000
"RETAINER, SPARE WHEEL MOUNTING",SCGA270D-45 T. 1.00 X 125 X 435,0,1,0
RCS-008=HANGER EXTHAUSE PIPE,SS400 D.10.00 X 1200,0,7,0
XP-0039=HANGER EXHAUST PIPE No 4 RR,SS400 D.10.00 X 1000,0,13,0
BRACKET PATCH INSTRUMENT UPR LH - OHP,SPHC-P T. 2.00 X 98 X COIL,358,0.152,2355.263158
BRACKET FINISH PANEL MOUNTING - OHP,SPHC-P T. 2.00 X 164 X COIL,598,0.221,2705.882353
"BRACKET FINISH PANEL MTG, NO 2",SPC440 T. 1.40 X 152 X COIL,388,0.219,1771.689498
"BRACKET, COWL TOP OUTER PANEL, NO.1 RH",SCGA270D-45 T. 1.00 X 223 X 531,0,8,0
"BRACKET, COWL TOP OUTER PANEL, NO.1 LH",SCGA270D-45 T. 1.00 X 223 X 531,0,8,0
"FR PANEL UPR REINFORCEMENT, RH",SCGA270D-45 T. 0.75 X 128 X 408,0,6,0
BRACKET WIPER MOUNTING NO 3 ( C ),SCGA270D-45 T. 0.70 X 154 X 135,0,1,0
BRACKET WIPER MOUNTING NO 3 ( CL ),SCGA270D-45 T. 0.70 X 154 X 135,0,1,0
HEAD JACK BRACKET,SCGA440-45A T. 1.00 X 378 X 182,0,2,0
G-026=PLATE LOWER RAIL INNER NO.1,SPC70C T. 1.2 X 80 X 1190 ,0,,0
"BHD RH, RR INNER UP",JSC270C T. 1.00 X 145 X 200,0,1,0
"BHD RH, RR INNER UP - SUB EXPORT",JSC270C T. 1.00 X 145 X 200,0,1,0
"BHD LH, RR INNER UP",JSC270C T. 1.00 X 145 X 200,0,1,0
