ID Part,Nama Part,Customer,Stok Terkini (pcs),Std Stock (3HK),Material,Proses,Minimal Produksi
--,PUNCH PLATE FOR BELT PANJANG 1494 MM,NRI,[0],12,SPHC  3.2 X 99 X 1494,"[{""process_name"": ""Piercing"", ""tonnage_std"": 160, ""tonnage_alternatives"": []}]",20
---,PUNCH PLATE FOR LINE 3 SIZE 124X2385,NRI,[0],12,SPHC  3.2 X 124 X 2385,"[{""process_name"": ""Piercing"", ""tonnage_std"": 160, ""tonnage_alternatives"": []}]",20
1,Kouita Uke,ISHO,[0],200,SPHC-PO  2.3 X 230 X 430,"[{""process_name"": ""Blank"", ""tonnage_std"": 200, ""tonnage_alternatives"": [160, 150]}]",500
10.01.00.03,BRAKET HOOK,MWT,"[0, 0, 1415]",1000,SPCC T 2.0 X 50 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75]}, {""process_name"": ""Piercing"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75]}, {""process_name"": ""Bending 1,2"", ""tonnage_std"": 55, ""tonnage_alternatives"": [75]}]",1200
41100L,41100L-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 570 X 150,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
41100R,41100R-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 570 X 150,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
41103L,41103L-BRACKET,KJI,"[0, 0]",10,SPCC T 1.6 X 655 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
41103R,41103R-BRACKET,KJI,"[0, 12]",10,SPCC T 1.6 X 655 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
41145L,41145L-BRACKET,KJI,"[0, 0]",10,SPCC T.1.2 X 645 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
41145U,41145U-BRACKET,KJI,"[0, 0]",10,SPCC T 1.2 X 648 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
4114EAR1111L,BACK PLATE ECO 1D 140L,SAI,"[0, 0]",10,SGCC T. 0.23 X 535 X 729.6,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
4114EAR1121L,BOTTOM PLATE ECO 1D,SAI,"[0, 226]",300,SGCC T. 0.23 X 541 X 636.2,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}, {""process_name"": ""Bending"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}]",500
41150L,41150L-BRACKET,KJI,"[0, 0]",10,SPCC T.1.2 X 645 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
41150U,41150U-BRACKET,KJI,"[0, 0]",10,SPCC T 1.2 X 648 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
4115EAR1111L,BACK PLATE ECO 1D 155L,SAI,"[0, 0]",10,SGCC T. 0.23 X 535 X 829.6,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
41160L,41160L-BRACKET,KJI,"[0, 0]",10,SPCC T 1.4 X 540 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
